1;19;1;0;1;8;7
1;17;0;1;1;7;8
2;40;5;5;4;0;4
2;34;6;5;0;3;3
3;9;4;5;7;6;10
3;10;4;4;4;6;10
3;4;5;5;0;6;6
4;40;1;2;0;9;8
4;34;2;2;2;7;7
5;25;1;2;2;9;7
5;26;1;1;1;9;9
6;11;6;6;7;4;0
6;12;6;6;10;0;2
6;3;5;5;7;0;4
7;43;5;4;4;2;1
8;25;0;0;8;10;7
8;26;1;1;7;7;8
9;11;6;4;4;3;3
9;12;6;5;1;1;1
9;3;5;6;3;1;3
10;12;6;5;0;4;0
10;11;6;6;3;1;1
10;3;4;6;0;3;3
11;37;6;6;3;1;0
11;36;4;6;4;4;0
11;16;4;5;4;0;2
12;26;0;1;8;7;10
12;25;0;0;10;7;8
13;19;4;6;9;2;0
13;17;6;6;9;0;2
14;43;5;6;3;0;0
15;43;1;1;3;9;8
16;3;0;1;0;8;10
16;11;2;2;3;7;7
16;12;1;2;3;10;8
17;11;0;1;0;8;8
17;12;1;2;2;8;9
17;3;1;0;0;7;7
18;43;6;5;4;4;1
19;35;6;4;1;2;3
19;43;5;6;0;0;1
20;43;5;6;6;1;2
21;33;5;6;10;1;4
21;40;6;6;9;0;0
22;43;6;4;3;0;3
23;20;6;5;8;7;10
23;22;5;5;8;10;10
23;30;4;5;8;10;8
23;32;6;4;1;9;10
24;32;2;2;0;7;8
24;20;1;2;2;7;10
24;22;1;1;1;8;9
24;30;2;2;1;9;7
25;43;2;0;7;8;7
26;40;1;0;7;8;8
27;43;0;1;8;10;7
28;40;4;5;1;0;0
28;34;5;5;4;1;4
29;16;2;1;8;10;10
29;36;1;1;10;8;10
29;37;2;0;9;10;9
30;32;4;6;0;0;1
30;30;5;5;4;4;0
30;22;6;6;4;3;3
30;20;5;4;2;0;0
31;40;6;5;0;4;0
31;33;5;5;0;1;4
32;33;6;4;0;1;0
32;40;5;5;4;3;0
33;11;1;0;7;10;8
33;12;2;1;9;10;8
33;3;1;2;9;8;10
34;17;4;6;2;2;0
34;19;6;6;2;2;4
35;36;2;0;2;7;7
35;37;2;1;3;10;10
35;16;2;2;1;7;9
36;40;5;4;3;3;0
36;34;6;5;1;4;2
37;34;5;4;9;1;0
38;26;5;6;8;4;4
38;25;4;5;10;0;1
39;16;6;4;3;9;9
39;36;6;4;5;9;7
39;37;5;6;7;8;10
40;11;2;2;1;9;9
40;12;1;1;1;7;7
40;3;2;1;3;10;10
42;35;0;0;9;10;7
43;9;4;5;3;2;2
43;10;4;5;2;1;1
43;4;4;6;0;0;2
45;35;0;1;7;10;9
46;35;1;1;3;10;8
47;33;4;6;7;3;3
48;33;6;6;3;3;0
49;33;1;1;2;9;8
50;25;5;5;1;3;4
50;26;4;5;1;1;4
51;12;6;4;6;8;8
51;3;4;4;5;6;10
51;11;5;6;3;8;9
52;33;5;5;0;1;4
54;26;6;5;7;1;3
54;25;6;4;7;1;3
55;34;1;1;2;7;9
57;10;4;4;4;1;4
57;9;6;4;2;1;1
57;4;6;6;3;0;2
58;34;5;5;2;0;1
60;35;0;1;10;8;9
61;33;4;5;2;4;1
62;35;6;4;8;0;0
63;35;2;1;7;9;10
64;33;6;5;4;1;2
65;33;0;1;2;8;9
66;34;4;6;1;2;4
67;26;4;6;1;1;3
67;25;5;5;2;2;0
68;16;4;5;2;2;1
68;37;5;4;0;1;1
68;36;6;6;4;0;4
70;34;6;4;4;4;4
74;41;1;0;1;8;10
76;6;5;6;1;3;2
76;10;4;6;4;0;3
76;5;5;4;4;3;0
77;41;4;5;4;4;1
79;5;5;4;7;2;2
79;6;6;5;10;1;1
79;10;4;5;9;0;3
81;30;6;6;0;9;6
81;29;6;4;5;7;10
81;23;4;5;9;6;8
81;31;5;4;2;8;8
81;21;4;4;5;6;6
82;41;4;4;4;9;8
83;41;0;2;10;8;9
84;25;6;6;7;0;4
84;24;5;5;6;0;3
85;25;5;5;6;7;7
85;24;5;4;0;6;10
86;11;2;1;8;8;9
86;13;1;2;10;10;8
86;1;2;0;10;9;10
87;11;2;2;0;8;9
87;1;2;0;1;7;10
87;13;0;1;2;7;7
88;25;5;5;7;9;7
89;25;2;1;10;9;7
89;24;1;1;9;10;10
90;41;1;0;3;10;8
91;11;5;4;2;2;0
91;1;4;5;0;3;0
91;13;6;6;4;4;0
92;25;5;4;0;4;3
93;41;6;4;3;0;2
96;42;5;6;6;2;1
97;42;4;5;3;1;2
98;11;1;1;1;10;10
98;13;2;0;2;9;9
98;1;2;2;3;7;10
99;41;2;1;10;9;10
100;29;2;0;1;10;10
100;23;1;0;1;8;9
100;30;0;1;2;8;7
100;31;2;2;0;10;7
100;21;2;1;1;9;10
102;29;0;0;10;7;10
102;23;1;2;10;7;7
102;21;0;2;7;10;7
102;30;0;0;7;9;9
102;31;0;1;7;7;10
103;41;2;1;2;10;9
104;41;0;1;8;9;7
105;37;2;0;1;10;7
105;14;0;0;0;8;8
106;25;5;4;0;1;3
109;37;4;6;0;1;3
109;14;6;5;0;1;3
110;42;5;5;1;4;0
111;42;6;4;0;2;1
112;24;4;4;3;1;2
113;42;1;0;3;7;8
115;42;0;2;0;9;9
116;42;0;2;9;9;8
117;42;2;0;9;8;7
118;42;5;5;3;2;4
119;24;6;6;3;1;1
121;24;0;0;10;7;7
121;25;0;2;10;8;9
122;42;0;0;7;9;7
124;25;4;5;10;4;0
124;24;6;5;10;3;3
130;24;0;1;1;9;8
135;11;1;2;3;8;7
135;13;1;1;2;8;10
135;1;0;2;0;7;8
138;10;5;5;6;1;1
138;6;6;4;10;0;1
138;5;6;5;8;0;3
139;24;4;4;2;0;1
139;25;6;6;3;3;4
140;37;5;5;6;1;0
140;14;4;5;6;4;4
144;30;4;5;2;2;3
144;23;5;5;0;4;4
144;31;5;5;3;4;1
144;29;5;5;4;3;4
144;21;5;4;4;1;3
146;14;0;1;1;7;8
146;15;2;2;2;10;7
148;13;6;6;7;9;7
148;3;4;6;0;7;6
